Company,Role,Responsibility,Qualifications
Accord Innovations,Data Engineer,"Create and maintain optimal data pipeline architecture as per best practices.
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and ‘big data’ technologies.
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Keep our data separated and secure across national boundaries through multiple data centers and Azure regions.
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
Work with data and analytics experts to strive for greater functionality in our data systems.
Design and develop enterprise and departmental business intelligence, data warehousing and reporting solutions.
Assist in defining strategies and executing tasks and projects.
Develop and implement reports and queries to drive business processes.
Ensure business users have proper authorities to reports and data.
Provide technical and business knowledge support to the team.
Ensure effective communication of user requirements.","Data Engineer more than 5 years of experience in building pipelines,
Data Support Engineer: 3 to 5 years in building or supporting pipeline and ensuring data quality on a day-to-day basis
They should also have experience using the following software/tools:
Experience with big data tools: Hadoop, Spark, Kafka, Big Query, etc.
Experience with relational SQL and NoSQL databases, including Postgres / Cassandra/ MongoDb/Cosmos Db.
Experience with data pipeline and workflow management tools: Airflow, Azure Data Factory, Databrick, AWS Glue, Snowflake, Azkaban, Luigi etc.
Experience with stream-processing systems: Storm, Spark-Streaming, Kafka etc.
Flexible and able to take up new role and responsibility as per company’s direction.
Nice To Have
• Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
• Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
• Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
• Strong analytic skills related to working with unstructured datasets.
• Build processes supporting data transformation, data structures, metadata, dependency and workload management.
• A successful history of manipulating, processing and extracting value from large disconnected datasets.
• Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.
• Strong project management and organizational skills.
• Experience supporting and working with cross-functional teams in a dynamic environment."
Accord Innovations,Data Scientist," Understand business requirements in BI context and design data models to transform raw data into
meaningful insights
• Create dashboards and interactive visual reports using PowerBI or equivalent
• Identify key performance indicators (KPIs) with clear objectives and consistently monitor those
• Analyzing data and presenting data through reports that aid decision-making
• Convert business requirements into technical specifications and decide timeline to accomplish
• Create relationships between data and develop tabular and other multidimensional data models
• Chart creation and data documentation explaining algorithms, parameters, models, and relations
• Design, develop, test, and deploy Power BI scripts and perform detailed analytics
• Perform DAX like queries and functions in the BI tool
• Analyze current ETL process, define and design new systems
• Data warehouse development and work with ADF , SSAS, SSIS, and SSRS
• Redefine and make technical/strategic changes to enhance existing Business Intelligence systems
• Create customize charts and custom calculations as per requirements
• Design, develop and deploy business intelligence solutions as per needs
• SQL querying for best results, use of filters and graphs for better understanding of data
• Work with users and team members at all levels for performance improvement and suggestions
• Make technical changes to existing BI systems to enhance their working.
• Comply with the instructions of the Scrum Master in creation and updates of tasks and activities
• Work with Scrum Master and senior developers in estimating the effort for tasks and activities
• Update status and remaining hours for tasks and activities on daily basis, as per instructions from Scrum Master","Qualifications
• Bachelor’s degree in Computer Science, Computer Information Systems, Computer
Engineering, or equivalent.

 Must Have
• Five years demonstrated experience in utilizing related skills, including experience with
existing standard languages and programs.
• Demonstrated experience writing optimized SQL queries.
• BI tools: Skills in BI tools and BI systems, such as Power BI/SAP / Tableau / Chartio /Apache SuperSet /
Looker /Google Data Studio or equivalent, etc., creating data-rich dashboards, implementing Row-level
Security (RLS) in Power BI, writing DAX expressions, developing custom BI products with scripting and
programming languages such as R, Python, etc.
• Microsoft BI stack: In-depth understanding and experience with Microsoft BI stacks such as
Power Pivot, SSIS, SSRS, and SSAS.
• Able to understand and communicate effectively in English
• Flexible and able to take up new roles and responsibility as per company’s direction

Nice To Have
• Relevant experience with some of these: Power Apps, Power Automate, JavaScript, JSON,
TypeScript, C#, HTML, .NET, Azure, Microsoft 365, RESTful web services, ASP.NET
• Previous experience with database management preferred.
• Experience with conceptual software development, on-line survey development, user
interface design, statistics and graphics programming, and data processing huge plus.
• Knowledge of SQL and PLSQL scripting languages.
• Knowledge of programming languages like Python.
• Experience in ETL pipeline ADF /Apache Airflow/ AWS Glue or equivalent
• Knowledge of data streaming principles, data modeling, and data visualization."
DKSH,Senior Data Governance Business Analyst,"Participate in the development of Data Governance strategies, implementation roadmap and deliver solutions for business cases.
In collaboration with Business Data Steward and IT Functional and Application Team, help to define, establish and maintain Global Data Policy or Standard Operating Procedure for different data domain such as Customer, Vendor, Material and other’s critical data set.
As Master Data Maintenance Tool Application Owner: 
- Troubleshoot & resolve users MDM application/technical issues in a timely manner according to service level agreements and objectives. Escalate & collaborate with relevant IT delivery teams as necessary to resolve complex issues.
As Master Data Business Analyst:
- Conduct business requirements studies and manage design discussions between business users and technical teams. Translate business requirements into technical requirements for the technical delivery teams. 
- Prepare test scripts, define, and document test scenario as required.
- Manage and conduct User Acceptance testing and obtain required signoffs. 
- Prepare training material, user guide documentation and conduct user training.
Project Management: 
- Lead Data Governance projects end-to-end, defining project approach, timeline and resources planning, coordinate with stakeholders at global and country level to complete delivery on time & with quality. 
- Create and maintain project documentation according to DKSH project management requirements.
- Responsible for engagement & collaboration with business users at global, regional & country level and the management of business stakeholders’ expectations.","Education

A Bachelor’s Degree in IT/Science/Computing/Engineering/Data management or equivalent education and work experience.
 

Work Experience

Minimum 3 years total working experience in SAP ERP or Master Data/IT ERP Applications/IT Application Project implementation. 
Minimum 3 years professional experience with SAP ERP Functional Modules ie: Customer, Vendor, Material Master Data is required; module structure, tables & fields relationship, Master Data maintenance process.
Good working knowledge of one or more Business Process areas such as Sales & Marketing or Supply Chain Management.
 

Good to Have

Minimum 3 years professional experience with SAP ERP Functional Modules ie: SD/MM/FICO is required; module structure, tables & fields relationship.
Minimum 3-5 years professional experience with SAP ERP Functional Modules ie: S/4HANA Business Partner, Vendor Master Data, Material Master Data; module structure, tables & fields relationship, Master Data maintenance process."
XSolla KL,Data Analyst,"Create visually appealing and informative reports tailored to specific stakeholder needs. This involves selecting the right metrics, visualizations, and layouts that effectively communicate insights.
Establish a routine for updating reports and dashboards to ensure they reflect the latest data. This includes scheduling automated data refreshes and revising reports as business needs change.
Develop and enforce data entry standards and protocols to ensure consistency across all data sources, reducing discrepancies and confusion.
Maintain comprehensive documentation of data sources, transformations, and methodologies to ensure transparency and reproducibility, making it easier for teams to understand the data lifecycle.
Work on collaborative projects that require input from multiple teams, fostering a data-driven culture and ensuring that analyses are comprehensive and relevant.
Develop customized analytical solutions that align with departmental goals, providing specific insights or tools that facilitate decision-making.",
Astro,Data Analyst,"Own the customer and product data and how it can be analysed, modelled and transformed to provide internal stakeholders with insight and information needed to drive business models. 

Work with a wide range of business stakeholders and functional teams to discover solutions/insights hidden in large data sets.

Answer requests from business users of data for insight and reports to extract commercial value from data. 

Extract, clean, and transform data to generate insights and reports for business stakeholders on an ad hoc or project basis. 

Prioritise and apply rigorous analysis to deliver insights: Viewership behaviours and pattern, customer acquisition and retention rates, user content consumption and navigational patterns. 

Conceptualise, create and deploy dashboards to track websites and mobile apps performance for reporting purposes 

Investigate data issues affecting analysis or ad hoc requests and implement necessary changes. 

Work closely with data scientists to develop analytical products to improve insights. ","Key skill sets:  

Strong problem solving skills  and analytical acumen to interpret and generate insights.  

Experience in using statistical computer languages (Python, SQL, PySpark, etc.) to manipulate data and draw insights from large data sets. 

Experience querying from databases.

Experience in visualizing/presenting data for stakeholders using tools like Tableau/QuickSight/PowerBI/ Looker Studio 

Familiarity with Google Analytics 360 for business requirements.  

We’re looking for someone with 2-5 years of hands-on experience in data and generating insights for varied business stakeholders.  "
Mandrill Tech,Data Engineer,"Assembling large, complex sets of data that meet non-functional and functional business requirements
Identifying, designing and implementing internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes
Building required infrastructure for optimal extraction, transformation and loading of data from various data sources using AWS and SQL technologies
Building analytical tools to utilize the data pipeline, providing actionable insight into key business performance metrics including operational efficiency and customer acquisition
Working with stakeholders including data, design, product and executive teams and assisting them with data-related technical issues","Ability to build and optimize data sets, ‘big data’ data pipelines and architectures 
Ability to perform root cause analysis on external and internal processes and data to identify opportunities for improvement and answer questions 
Excellent analytic skills associated with working on unstructured datasets 
Ability to build processes that support data transformation, workload management, data structures, dependency and metadata.
Proficiency in Python programming and SQL.
Experience in implementing data storage solutions (data warehouse / data lakes)
Experience with database management systems (e.g., MySQL, PostgreSQL).
Familiarity with data integration and ETL tools (Talend, Airflow, MageAI) is a plus.
Knowledge of Docker is a plus.
Hands-on experience with Tableau is preferred.
Excellent communication skills and the ability to work collaboratively with cross-functional teams."
bp,Senior Data Analyst,"Be a bridge between the broader bp business and the digital organizations and part of a cross-disciplinary team, working closely with our team of analysts, product managers, data scientists, data engineers, software engineers, data managers and business partners.
Provide actionable, data-driven business and product insights by combining deep statistical skills, data manipulation capabilities and business acumen.
Maintain metrics and build dashboards.
Autonomously execute data analysis, applying existing data & analytics strategies relevant to your immediate scope
Partner with data engineers to define and build simple data models. You integrate existing tools to automate data ingestion, data manipulation, quality control and data analysis.","Hands-on experience (typically approx 5-7 years) carrying out data analytics, data mining and product analytics in complex, fast-paced environments.
Applied knowledge of data analytics and data pipelining tools and approaches across all data lifecycle stages.
Deep understanding of a few and a high-level understanding of several commonly available statistics approaches
Advanced SQL knowledge
Advanced scripting experience in R or python.
Ability to write and maintain moderately complex data pipelines
Strong communication and stakeholder management skills. Ability to lead large organizations through influence.
Continuous learning and improvement mindset."
Capgemini,Senior Data Analyst,"Lead and mentor a team of data scientists in developing and implementing advanced analytics solutions.
Collaborate with business stakeholders to understand their requirements and translate them into data science projects.
Design and implement machine learning models and algorithms to analyze large-scale datasets, utilizing Python (including XGBoost, LightGBM, NLTK, Spacy, Pyspark, Tensorflow, networkx), Dataiku, and SAS.
Apply business acumen, particularly in the banking domain, to develop data-driven insights and solutions.
Demonstrate leadership skills and stakeholder management to effectively communicate findings and drive decision-making.
Conduct statistical analysis and hypothesis testing to derive actionable insights from data.
Develop data pipelines and workflows for data processing and model deployment.
Stay updated with the latest trends and best practices in data science and machine learning.",
Mintel Consulting,Trends Analyst,"Researching market innovations: as a Trends Analyst covering the Americas, this role will be tasked with finding interesting examples of product and marketing innovation in North and South America, sourced from news articles, trade publications, academic journals and other secondary sources.
Writing case studies: the primary job function will be writing thought-provoking case studies that highlight the implications of brand actions such as bringing new products to market, launching marketing and PR campaigns, or changing business strategies. These case studies require the Trends Analyst to use Mintel data, business understanding and a bold, forward-looking perspective to help readers recognize what is coming next in their category.
Working with tech tools: using AI tools, translation software and content management systems, the Content Specialist will manage the production process from inception to publication.
Collaborating with global analysts: this role will include partnering with Mintel subject-matter experts across the globe to ensure our content is compelling, useful and applicable to a range of categories, demographics and regions.
Managing culture and language translation: to cover the Americas region, this Trends Analyst will need to understand the cultural nuances of North and South America and use translation tools to read and interpret market news from Spanish, Portuguese and English language outlets.","A Great Communicator: you have extremely polished English-language verbal and written communication skills, and can clearly communicate ideas to readers in a straightforward way. You have a keen ability to explain and promote analytical output to non-technicians.
A Researcher: you have some experience within trends, insights, planning or marketing within an agency or on the client side. You have the ability to identify patterns in data, and understand what these patterns mean for consumers and brands.
A Skilled Writer: you are able to observe brand and consumer activity from a wide range of categories to create compelling stories of how broader consumer trends are evolving. You can create content that excites and inspires audiences with the latest trend thinking.
A Collaborator: you encourage and develop internal relationships. You seek out opportunities to collaborate with peers in your department and across the organization to ultimately elevate our clients' experience.
Detail-Oriented: you have excellent attention to detail and strong organizational skills. You are dedicated to quality, ensuring accuracy and efficiency in your work to elevate Mintel as a top consumer insights company.
Naturally Curious: you are naturally curious and great at navigating internal and external data, asking second and third level questions to see the patterns behind data to craft expert analysis.
Self-Directed: you take initiative to solve problems and uncover opportunities. You have a self-sufficient work ethic, are entrepreneurial in spirit, and are naturally self-motivated. You welcome the ability to work autonomously and bring new ideas to the table.
Experience: You are required to have 1-3 years of experience in marketing, communication, data analysis and/or research with strong writing ability. Additionally, to have a working knowledge of business fundamentals to understand the implications of brand tactics.
Copywriting experience would be an added plus. "
Orsted Malaysia,Master Data Analyst,"You’ll play an important role in:

in the creation, maintenance, and validation of master data
central checks and controls
taking care of data enhancements and data correctness
support end users
clarify request content with business users and business partners.","To succeed in the role, you:

have a bachelor’s degree in business administration, accounting, finance, or a member of any professional bodies
strong attention to detail and organizational skills
have an analytical and logical approach to issues and problem-solving
excellent communication skills, both written and verbal
basic understanding of data management principles and best practices"
PwC Malaysia,Senior Data Scientist,"Analyze large and complex datasets to identify patterns and trends using statistical techniques to derive actionable insights.
Develop, test, and validate predictive and descriptive models to support business objectives. Apply machine learning algorithms and statistical methods to solve real-world problems.
Create clear and compelling visualizations to communicate findings and insights to stakeholders.
Clean, preprocess, and transform data from various sources to ensure accuracy and usability for analysis and modeling.
Generate and present reports that summarize analytical findings and recommendations. Provide actionable insights to guide strategic decision-making.
Stay abreast of the latest trends and advancements in data science, machine learning, and analytics. Propose and implement innovative techniques and methodologies to enhance data practices.
Maintain thorough documentation of data science processes, models, and methodologies to ensure transparency and reproducibility.","Bachelor’s Degree in Data Science, Computer Science, Statistics, Mathematics, or a similar field.
Minimum 2-3 years of experience as a Data Scientist or in a similar role, with a proven track record of applying data science techniques to drive business outcomes.
Proficient in data analysis and visualization tools (e.g., Python, R, SQL, Tableau, Power BI). Experience with machine learning libraries and frameworks (e.g., TensorFlow, PyTorch).
Proficient in cloud platforms (e.g. AWS Sagemaker, AWS Quicksight, Azure Machine Learning).
Experience with deep learning techniques and natural language processing (NLP).
Excellent analytical and problem-solving skills with the ability to tackle complex data challenges and derive actionable insights.
Strong verbal and written communication skills, with the ability to present complex findings in a clear and concise manner.
Knowledge of data privacy and security best practices."
DCap Digital,Data Scientist,"Data Science and Credit Scoring (≈50%):

Assist in developing and maintaining alternative credit scoring models using machine learning techniques and non-traditional data sources.
Analyze diverse datasets, including non-traditional data, to identify patterns and trends in credit risk for underserved populations.
Support risk management teams in implementing credit assessment strategies.
Create data visualizations and reports to communicate insights to stakeholders.
Contribute to improving model performance through testing and validation.
Respond to ad hoc data analysis requests from various departments, providing quick insights and solutions.
AI Application Development (≈50%):

Participate in designing and developing AI applications to enhance various business processes.
Assist in implementing natural language processing (NLP) and computer vision solutions.
Contribute to the creation and optimization of deep learning models for predictive analytics.
Help develop AI-driven chatbots and virtual assistants to improve customer service.
Collaborate with software engineering teams to integrate AI solutions into existing systems.
Address urgent AI-related queries and provide rapid prototypes or proof-of-concepts as needed.","Malaysia citizen with Bachelor's or Master's in Data Science, Computer Science, Statistics, or a related field.
1 to 3 years of experience in data science, with exposure to credit risk modeling and/or AI applications development.
Strong programming skills in Python and SQL.
Proficiency with machine learning libraries (e.g., PyTorch, scikit-learn, or equivalent).
Knowledge of cloud platforms (e.g, AWS) and containerization (Docker) is advantageous.
Good communication skills and ability to explain technical concepts to non-technical stakeholders.
Strong problem-solving skills and attention to detail.
Flexibility and adaptability to manage multiple projects and ad hoc requests simultaneously.
Ability to work effectively under pressure and meet tight deadlines."
Boostorder,Data Analyst Intern,"To be well-versed in Boostorder's data environment
Utilize BI tools effectively to translate and deploy Boostorder's Standard Business Intelligence (BI)
Deliver description, prescriptive, and predictive insights to Boostorder's ecosystem
Pilot with customer data to create AI/ML model to enable prescriptive analytics and quantify customer success via these models
Lead and develop prescriptive data models and productize them as standard Boostorder's offering","Must-have:

Bachelor's Degree in Computer Science, Mathematics / Statistics, Actuarial Science
Experience in data visualization dashboard development and maintenance
Design and maintain database of at least 1 million rows in data set
Experience in SQL databases
Experience in visualization tools (Power BI or Tableau)
Building API connectors and performing ETL
Great to have:

Master and PhD in Computer Science, Mathematics / Statistics, Actuarial Science
Business / Finance / Marketing background
Practical experience in statistical analysis (Excel, SPSS, and SAS)
Experience with AI / ML models either through supervised, unsupervised, reinforced or deep learning"
Publicis Groupe,Data Analyst,"Digitas is a highly-caffeinated playground where brilliant minds come together to bring bold, award-winning ideas to life.

The Data & Analysis team uses data-driven insights to fuel strategic growth for clients. We believe that data should never exist in a vacuum; instead, it should be put to work to bring the best ideas and stories to our clients.

To help with this, we are looking for an outstanding Data Analyst – someone who has a knack for understanding data and telling the story of why it matters. You will learn from the best in the business as you work with the team to bring actionable insights to our clients. Up for it? Read on.

What you will do:

As an Analyst, you will participate in laying the groundwork and contribute to day-to-day reporting needs for client marketing efforts. You will be assigned to primarily social and web analytics projects and reporting for a client brand.


Day-to-day, your role includes:

Keeping a pulse on daily, weekly and monthly performance data from analytics platforms
Working in a variety of reporting systems and databases for the creation of recurring reports and dashboards
Participating in brainstorms to identify nuances in data to optimize our clients’ business
Supporting marketing initiatives across project and campaign lifecycles, including measurement plans, primary and secondary research and performance reporting
Expanding industry knowledge and relevant skillsets through scheduled internal training
Participating in ad hoc requests from accounts handled such as root-cause analysis, reporting, data insights generation and more.","Familiarity with different social media ecosystems, trends and tools (Meta, Instagram, TikTok, Snapchat, blogsites and more)
Analyzing social media performance, monitoring brand mentions, identifying trends to inform social media strategy
Understanding and familiarity with social analytics tools (Meltwater, Sprinklr, Netbase etc.)
Defining keyword taxonomy and query setup in social listening tool per client requirements
Experience in building widgets and dashboards within social listening tools
Familiarity with Excel or any scripting languages for additional data analysis
Comfortable in a fast-paced and deadline-driven environment
Able to prioritise tasks and provide timely updates
Team player, Independent & Detail-oriented
Ability to learn and adapt to different systems and various database
Passion for digital marketing, eagerness to learn in a constantly-changing industry, and possess natural curiosity
1-3 years of work experience in a relevant industry
An undergraduate college degree
Proficient in English & Bahasa Malaysia. Mandarin is a plus."
Hilti,Data Engineer Intern,"In the role of a Data Engineer Intern at Hilti you will be exposed to latest data engineering technology, work closely with leading experts in the field and will be embedded into the truly global environment of an international company. As part of the enterprise data platform team, you guarantee the seamless, timely and well managed provisioning of data from all data domains to all data domains in the company. The role will require you to fully understand dataflows in the broadest sense possible, dealing on a day-to-day basis with sales, development and IoT data alike, from the source system up until frontend solutions. Working closely together with senior team members you will act as the key technical enabler of data access and orchestration, guiding business stakeholders of all levels on their data requirements journey.

You support hands-on and – depending on your previous experience – work autonomously to retrieve, process and store large sets of data. You work closely with other data engineers and data scientists to understand and act upon data provisioning requirements. You deal with high level of technical complexity and understand integration patterns across various technical platforms, ranging from cloud based large data processing tools and frontend solutions alike. You are encouraged to ideate and test your own solution designs and are supported if explore unconventional approaches.","You study Computer Science, Engineering (Computer/Telecommunication) or any related quantitative field with a prospect to complete in the near to mid-term future and excellent grades.
You have a passion for mathematics and data as well as software engineering. You feel confident with basic software engineering skills (software architecture, version control systems, continuous integration software).
You understand concepts of distributed computing frameworks and big data and had touchpoints with object-oriented coding, Hadoop, MapReduce, HDFS, etc.
Strong programming skills (Python, Spark, SQL).
Strong communication skills, with excellent English and interpersonal skills to manage change.
A strategic approach and good problem-solving skills.
As a strong team player, you can work in a diverse and dynamic global environment.
A thirst to learn and challenge yourself.
Experience with cloud based hyper scaler (AWS, Azure) is preferred for this position."
KK Group,Data Engineer Lead,"Data Management, Transfer and Preparation

1) Making large and/or complex data more accessible, understandable and usable

2) Transforming, improving and integrating data, depending on the business requirements

3) Delivering the data in a useful and appealing way to users

4) Work with noisy, dirty, and unstructured data, data cleansing, scraping unstructured data, and converting into structured data

5) Build and maintain data pipelines, ETL, databases and applications to acquire, store and manage data

6) Choose, design, test and implement data software and solutions for projects and enterprise

7) Selecting and integrating any Big Data tools and frameworks required to provide requested capabilities

8) Monitoring performance and advising necessary infrastructure changes to optimize performance and cost

9) Architect, develop and implement end-to-end automated data flows for data and analytical needs

10) Perform data profiling, data quality assessment, data cleansing and data transformation

11) Recommend appropriate solutions architecture that is highly scalable based on business requirement

12) Create date tools for data scientists and data visualization team members

13) Builds the infrastructure required for optimal extraction, transformation, and loading for data from a wide variety of data sources using SQL, noSQL and cloud (AWS / Azure / Google / Alibaba / DigitalOcean) technologies

14) Benchmark, evaluate and improve the scalability, robustness, efficiency and performance of big data platforms and applications

Create Business value through data management, transfer and preparation

1) Engage in the delivery of analytics assignments for business users involving, amongst others; data preparation, data visualization, creating business insights etc

2) Contribute and facilitate workshops/interviews bridging the gap between data analytics and business outcomes

3) Provide strategic and tactical advice to business units by translating analytical solutions into out-of-the-box execution recommendations addressing business objectives and impacting bottom line results

4) Combine your technical expertise with the ability to architect, deploy and oversee integrated analytics/business intelligence/technology solutions

5) Build case for analytics through need analysis and business case (quantify likely benefits)

Team Lead

1) Consult with leaders of business teams and manage expectations, meet project and deliverable timelines, ensure accurate and timely completion of deliverables

2) Collaborate with several other teams and roles across the organization on requirements gathering and solution deployment

3) Make analytical product, service or process decisions likely to impact multiple groups of employees and/or customers (internal or external)

4) Manage technology solution portfolios, and identifying new technology approaches to solve business problems with a strong focus on leveraging enterprise data

5) Contribute to the building and management of the analytics infrastructure

6) Work with management team on staffing needs, strategic technology trend identification, monitoring project progress and completion, issue resolution and technical solutions related to data, data flow and advising on algorithm deployment

7) Collaborate with analytics practitioners, business analysts and methodologists to design and oversee the development of working prototypes of technical solutions

8) Technical support and lead for the Data Engineer team

9) Work with project teams to assist with data-related technical issues and support their data infrastructure needs

10) Any ad-hoc tasks requested by your superiors

","1) Bachelor’s degree in Computer Science, Data Science, Software Engineer or in a related field

2) Minimum THREE (3) years of relevant work experience

3) Professional certifications such as; is an added advantage

o Amazon Web Services (AWS)

o Certified Data Analytics

o Google Professional Data Engineer

4) Proven success working with all levels of management

5) Good analytical skills with proven ability to solve problems creatively

6) Good interpersonal skills and resourceful"
Hartalega,Data Analyst,"Plans, develop, implements, and assesses high-level statistical models and strategies in various problems including projections, classification, clustering, pattern analysis, sampling, and simulations.
Develop custom data models and algorithms, use predictive modelling to increase and optimize business outcomes.
Assist in the development of logical and physical data models for designing / developing Business Intelligence / Data Warehouse requirements.
Organize, analyse, and interpret data to uncover patterns, trends and establish how these findings can help to increase the business value through making better informed decisions.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Creating new, experimental frameworks to collect data and building tools to automate data collection.
Creating reports and presentation for business uses.","Bachelor’s Degree in Statistics, Math, Computer Science, Economics or equivalent.
Work Experience

Minimum 1-2 years of experience in business analysis and big data management.
Technical and Professional Knowledge

Sound knowledge in SQL, SAS, Python or other analytical tools
Proficient in Excel, PowerPoint, Power BI / Tableau, ODBC connections (SSMS, Access, .Net).
Familiar with system integration, developer Workflows, Model Management, Azure/AWS Machine Learning or big data technology (e.g. Hadoop, Hive, Spark)"
User Experience Researchers Pte Ltd,Business Analyst,"Apply Design Thinking / Service Design methodology and tools to develop and execute the approach to derive the current state and its gaps and challenges, and future states designs and solutions.
Engage with business stakeholders to understand their digital needs, gather requirements, and ensure alignment with overall business goals.
Collaborate with product managers to develop user stories and plan, design and facilitate workshops.
Elicit and document clear and comprehensive requirements, ensuring they are feasible, measurable, and aligned with digital objectives.
Work closely with UX/UI designers and software developers to translate business requirements into well-defined digital solutions and to develop, test and deploy digital solutions.
Conduct in-depth analysis of digital business processes, systems, and workflows to identify areas for improvement and optimization.
Analyze digital data, user behavior, and performance metrics to derive insights and make data-driven recommendations for enhancing digital experiences.
Analyse impact of requested changes and propose improvements to continuously address changing business needs, and work with support team to understand and address technical problems (Operations & Maintenance phase)
Ensure system or product readiness for smooth deployment, adoption and operations
Effectively communicate and present analysis findings, recommendations, and project updates to stakeholders at various levels of the organization.
Collaborate with end-users to define test scenarios and conduct user acceptance testing to ensure digital solutions meet business requirements and deliver a seamless user experience.
Assist in change management activities, including user training, documentation, and support during digital solution implementation and adoption.","How to Succeed:

Minimum 5 years of relevant experience. Candidates with more years of experience will be considered for more senior roles.
Minimum 3 years of relevant experience in enterprise software/web application implementations or development.
Prior working experience in IT business analysis, solutioning design, and testing and support of digital products
Participated in at least one full software or product development cycle, preferably using Agile Methodology
Good experience in end-to-end application implementation including but not limited to areas such as understanding business requirements, and managing the change management
Keen to learn, proactive, dynamic, and with good analytical/conceptual thinking
Excellent written and verbal communication and ability to influence and communicate effectively with non-technical audiences and senior management
Preferred Certifications/Skills:

Business Analysis certification, e.g. Certified Business Analysis Professional (CBAP)
Familiar with the iterative development (Agile) approach
Hands-on work experience of more than 1 year on Design Thinking / Service Design / Process Redesign projects with the development of artifacts such as Service Blueprints, Customer Insights, and Future State Design.
Good understanding of customer/user experience, design thinking, user story mapping, and digital product lifecycle management
Good interpersonal skills with the ability to pitch ideas and influence stakeholders and facilitate discussions to elicit, manage and prioritize product backlog items
Good stakeholder engagement and workshop facilitation skills
Strong analytical, conceptualization and problem-solving skills
Experience with ServiceNow will be preferred.
A driven and motivated personality with an inquisitive mind
Ability to learn and apply knowledge acquired."
FWD Insurance,Senior Data Engineer,"Design, develop, document and implement end-to-end data pipelines and data integration processes, both batch and real-time. This include data analysis, data profiling, data cleansing, data lineage, data mapping, data transformation, developing ETL / ELT jobs and workflows, and deployment of data solutions.
Monitor, recommend, develop and implement ways to improve data quality including reliability, efficiency and cleanliness, and to optimize and fine-tune ETL / ELT processes.
Recommend, execute and deliver best practices in data management and data lifecycle processes, including modular development of ETL / ELT processes, coding and configuration standards, error handling and notification standards, auditing standards, and data archival standards.
Prepare test data, assist to create and execute test plans, test cases and test scripts.
Collaborate with Data Architect, Data Modeler, IT team members, SMEs, vendors and internal business stakeholders, to understand data needs, gather requirements and implement data solutions to deliver business goals.
BAU support for any data issues and change requests, document all investigations, findings, recommendations and resolutions.","Bachelor in IT, Computer Science or Engineering.
At least 3-5 years of using Big Data technologies like Azure and AWS Big Data Solution, Hadoop, Hive, HBase, Spark, Sqoop, Kafka and Spark Streaming.
Minimum 5 years of professional experience in data warehouse, operational data store, and large scale data architecture implementations in Unix or/and Windows environment.
At least 3+ years of solid hands-on development experience with ETL development to transform complex data structure in multiple data sources environment.
At least 5 years data model (relational and/or data warehouse), data mart design and implementation.
Minimum 3-5 years ETL programming in any of these languages including Python, Scala, Java or R
Experience on Azure Databricks for ETL/ELT development and big data analytics programming in Python
Strong Experience with various of ETL/ELT frameworks, data warehousing concepts, data management framework and data lifecycle processes.
Solid understanding on Azure Data Management Solution including Azure Data Factory, Azure Databricks, Azure Blob storage (Gen2) and Azure Synapse"
D Group Holdings Sdn Bhd,Data Analyst,"1. Create weekly and monthly performance reports to show progress on performances of each campaign.

2. Assess data quality, clean, and standardize data from several sources.

3. Identify errors and propose solutions.

4. Analyse data with Excel / any other relevant statistical or analytical tools to identify patterns and insights for performance and process improvement.

5. Present data and reports in suitable templates / dashboards / scorecards and metrics

6. Prepare reports with insights and findings by building a story line with the right data visuals and be ready to present to various level of stakeholders.

7. Maintain and update data, as necessary.

8. Perform Ad-hoc data gathering and analysis to support sales and marketing teams.","1. Work experience as a data analyst or in a related field.

2. Ability to collaborate with stakeholders to assess potential risks.

3. Ability to analyse existing tools and databases and provide software solution recommendations.

4. Ability to translate business requirements into non-technical, lay terms.

5. High-level experience in methodologies and processes for managing large-scale databases.

6. Demonstrated experience in handling large data sets and relational databases.

7. Understanding of addressing and metadata standards.

8. High-level written and verbal communication skills.

9. Degree in Computer Science, Computer Engineering, or related technical discipline; preferably from Local Universities such as UM, USM, UKM, UPM & UTM with CGPA of 3.5 and above."
